ID,Toxins,Sex
JLS178,49,Female
JLS187,48,Female
JLS202,51,Female
JLS216,47,Female
JLS248,39,Female
JLS253,35,Female
JLS255,36,Female
JLS257,41,Female
JLS260,29,Female
JLS269,43,Female
JLS181,48,Male
JLS223,47,Male
JLS224,38,Male
JLS228,41,Male
JLS242,49,Male
JLS247,46,Male
JLS249,51,Male
JLS254,41,Male
JLS256,48,Male
