gene_id,class,toxin_family,JLS178,JLS181,JLS187,JLS202,JLS216,JLS223,JLS224,JLS228,JLS242,JLS247,JLS248,JLS249,JLS253,JLS254,JLS255,JLS256,JLS257,JLS260,JLS269,Average,Female_Average,Male_Average
extenderContig199||sp|P62829.1|,Nontoxin,Nontoxin,5282.86,10877.63,5930.18,6024.34,6150.72,9604.58,10953.54,11654.01,10996.22,11388.83,7992.84,10071.84,7080.92,11107.6,8244.32,12873.01,6090.3,7778.13,5498.27,8715.796842,6607.288,11058.5844
extenderContig20||sp|A8QL49.1|,Nontoxin,Nontoxin,236.22,423.75,762.48,78.98,348.09,119.87,119.74,237.92,435.87,617.98,272.06,231.36,509.46,344.28,279.14,5597.49,279.02,42.62,172.77,584.6894737,298.084,903.14
extenderContig201||sp|A9CB60.1|,Nontoxin,Nontoxin,3434.66,2056.21,3491.28,4026.55,3250.85,3367.25,1149.31,3055.01,3617.76,3029.5,3201.81,2989.52,3935.5,2404.84,3325.68,3774.35,2838.74,6079.42,2954.89,3262.27,3653.938,2827.08333
extenderContig203||sp|P24479.2|,Nontoxin,Nontoxin,0,0,0,1810.78,0.65,0,0,0,0,0,33.75,2.68,0,0,60.57,0,0.71,0,219.04,112.0094737,212.55,0.29777778
extenderContig208||sp|P62937.2|,Nontoxin,Nontoxin,2166.94,1152.91,1818.13,1673.8,2858.5,3310.01,2154.83,1710.21,2534.71,2015.95,3955.91,2014.79,2490.02,2241.05,1902.93,1468.12,1700.09,3306.47,1178.19,2192.292632,2305.098,2066.95333
extenderContig224||sp|Q56JZ1.3|,Nontoxin,Nontoxin,4680.7,0,5.24,1069.66,2530.6,506.13,196.48,2948.02,1080.09,1227.38,1.61,2367.48,2905.03,858.74,2620.22,2843.01,1767.83,2493.3,2287.04,1704.661053,2036.123,1336.37
extenderContig231||sp|D8VNS0.1|,Nontoxin,Nontoxin,17408.97,2724.45,4288.79,9177.95,7227.7,873.25,67.27,27095.94,1681.9,19625.8,0,19967.37,25651.91,4139.87,19638.49,8934.54,10739.43,28809.8,29956.1,12526.81737,15289.914,9456.71
extenderContig239||sp|D8VNS0.1|,Nontoxin,Nontoxin,11.31,27019.68,71.62,32.49,76.9,6063.05,87.88,27632.15,13170.6,28358.67,8.44,6.86,14.57,19.31,40.6,8.41,19.85,7.86,41.56,5404.832105,32.52,11374.0678
extenderContig248||sp|Q98TX1.3|,Nontoxin,Nontoxin,3436.21,2864.78,2673.15,2418.33,2942.03,2735.16,1987.74,3383.77,3811.54,2757.98,3625.57,2961.42,5407.76,3655.24,4576.47,2868.51,2618.16,4370.39,2978.83,3267.002105,3504.69,3002.90444
extenderContig249||sp|P0C0U8.1|,Nontoxin,Nontoxin,212.05,363.79,680.27,12489.45,36.39,3439.92,506.84,2872.18,984.96,2.89,0,45.72,288.38,1247.76,118.02,34.32,58.65,6275.84,393.03,1581.603158,2055.208,1055.37556
extenderContig249||sp|P46778.2|,Nontoxin,Nontoxin,2910.51,3675.93,3051.43,3964.71,4492.88,4187.1,3107.54,4208.32,4115.67,4005.3,4529.94,3864.72,4881.12,5777.14,5242.34,4968.58,3310.34,7177.34,3915.24,4283.481579,4347.585,4212.25556
extenderContig256||sp|P24479.2|,Nontoxin,Nontoxin,104.29,477.66,178.09,0,322.99,1135.12,125.28,445.22,874.1,341.11,237.24,24.29,541.39,0,2.35,0,498.81,107.53,20.16,286.0857895,201.285,380.308889
extenderContig26||sp|Q98953.1|,Nontoxin,Nontoxin,4.22,0,0.55,0,0,0,0,0,0,0,5372.54,0,0,0,0,4611.01,0,0,0,525.7010526,537.731,512.334444
extenderContig264||sp|P42899.1|,Nontoxin,Nontoxin,2772.51,5759.81,2944.41,4163.85,3688.18,5637.99,8116.56,5317.88,4685.28,3862.58,4490.88,4043.27,4630.99,12311.65,6485.99,5049.18,3168.28,7942.83,4168.76,5223.204211,4445.668,6087.13333
extenderContig269||sp|P62277.2|,Nontoxin,Nontoxin,3680.38,3255.58,3887.46,3933.47,3596.54,4169.5,5605.99,4241.48,4385.82,4327.46,4829.93,3888.45,5129.53,5403.23,4395.8,4797.17,3303.79,7233.79,3800.48,4413.992105,4379.117,4452.74222
extenderContig271||sp|P24049.3|,Nontoxin,Nontoxin,4846.04,5270.61,5767.52,7041.2,6192.85,6389.77,3535.4,6749.4,5889.14,6288.94,6853.15,5869.46,7482.59,5084.54,6645.36,6738.02,6073.08,7272.28,6587.27,6135.611579,6476.134,5757.25333
extenderContig283||sp|P23438.1|,Nontoxin,Nontoxin,1846.26,322.28,696.23,127.29,299.24,331.71,634.25,295.21,912.66,442.94,133.62,365.94,634.03,767.26,1574.02,377.68,975.88,774.79,594.06,637.1236842,765.542,494.436667
extenderContig304||sp|Q5R2J2.1|,Nontoxin,Nontoxin,6040.38,1941.37,3230.81,4924.96,3436.67,3383.89,3157.68,4775.05,3895.13,4081.56,4863.3,3674.9,4797.77,2754.63,3531.36,4872.07,6051.42,4827.93,2941.9,4062.251579,4464.65,3615.14222
extenderContig307||sp|P61270.3|,Nontoxin,Nontoxin,6365.03,1373.71,3095.15,1110.11,3161.11,1616.2,986.72,1432.99,1088.09,1533.4,1989.21,264.07,3269.15,391.82,842.83,1804.93,3480.07,1923.65,1451.3,1956.817895,2668.761,1165.77
extenderContig31||sp|Q98TF6.1|,Nontoxin,Nontoxin,4708.96,2434.12,2661.37,958.25,3381.19,4527.36,1567.39,5268.54,1514.18,3178.39,4310.54,3134.67,3867.13,2240.36,1096.83,1412.86,2693.32,7000.33,1369.54,3017.122632,3204.746,2808.65222
extenderContig33||sp|P67984.2|,Nontoxin,Nontoxin,1823.8,436.68,2952.3,1871.14,1761.78,2521.31,0,1920.43,995.6,2231.01,831.16,2528.39,1046.57,1456.67,1466.39,1815.63,2157.85,3864.91,1705.3,1757.206316,1948.12,1545.08
extenderContig340||sp|P24479.2|,Nontoxin,Nontoxin,1155.03,434.79,518.83,0,312.5,1264.85,89.83,349.63,0,236.39,1082.71,1354.03,421.7,739.24,655.96,1324.29,484.29,1422.69,473.91,648.4563158,652.762,643.672222
